station_name,station_id,state
Mount Dandenong Gtv9,86243,VIC
Mount Eliza,86082,VIC
Mount Hotham,83081,VIC
Mount Hotham,83085,VIC
Mount Moornapa,85296,VIC
Mount Nowa Nowa,84144,VIC
Myrtleford Post Office,82034,VIC
Newbury,88133,VIC
Nhill,78031,VIC
Nhill Aerodrome,78015,VIC
Noojee,85153,VIC
Noojee (Slivar),85277,VIC
Nowa Nowa,84028,VIC
